Tipo de Identificación,Fecha de Nacimiento,Tipo de sexo,Estrato Social,Cabeza de Familia,Posee alguna discapacidad,Población a la que pertenece,Grado de Escolaridad,Tipo de Formación artística,Sub area,Es su principal actividad,Año de inicio de actividad,Area en la que se desempeña,id_artista,Año registro,Municipio,Longitud,Latitud,Provincia,Hace parte de alguna organización,Empresa de pensión,Eps,regimen
Cedula de Ciudadanía,1980,Masculino,2,Si,No,Ninguno,Universitaria,"Autodidacta, Talleres, Cursos",Interprete,SI,1996,Música,11e8a6ea-4ba1-4c13-8afa-ede0d5417d6c,2021,Duitama,"-73,03063","5,822964",Tundama,No,Colfondos,Nueva EPS,Contributivo
Cedula de Ciudadanía,1980,Masculino,3,Si,No,Ninguno,Universitaria,"Autodidacta, Talleres, Cursos, Clases particulares",Interprete,NO,2000,Música,2e9e46cf-a09a-4fc0-a107-d4a10b4ec2eb,2021,Tunja,"-73,355539","5,53988",Centro,No,Porvenir,Sanitas,Contributivo
Cedula de Ciudadanía,1990,Femenino,2,Si,No,Ninguno,Universitaria,Universidad,Gestor Cultural,SI,2016,Artes plásticas,6579ec9f-cdea-47c8-be68-0f61596f03b4,2021,Sogamoso,"-72,924355","5,723976",Sugamuxi,Sí,Porvenir,Sanitas,Contributivo
Cedula de Ciudadanía,1977,Masculino,3,Si,No,Ninguno,Universitaria,Autodidacta,Artista Creador,SI,1998,Música,fb3414d7-be23-4c43-b4eb-afc112710c2f,2021,Tunja,"-73,355539","5,53988",Centro,No,Porvenir,Otra / No clasificada,Contributivo
Cedula de Ciudadanía,1998,Femenino,5,No,No,Ninguno,Universitaria,Universidad,Artista Creador,SI,2017,Artes plásticas,7f7cb323-9ba1-43e4-acdf-d1d813dec922,2021,Tunja,"-73,355539","5,53988",Centro,No,Porvenir,Otra / No clasificada,Contributivo
Cedula de Ciudadanía,1976,Masculino,2,Si,No,Mestizos,Universitaria,Universidad,Artista Creador,SI,1996,Artes plásticas,e997f978-eb93-437e-af76-60d5f4a9fb83,2021,Cerinza,"-72,947918","5,955939",Tundama,No,Sin pensión,Otra / No clasificada,Contributivo
Cedula de Ciudadanía,1995,Femenino,3,No,No,Ninguno,Universitaria,Universidad,Artista Creador,SI,2019,Artes plásticas,cb89965a-13e8-4d0d-9551-1ae75a4c75a4,2021,Tunja,"-73,355539","5,53988",Centro,No,Protección,Famisanar,Contributivo
Cedula de Ciudadanía,1981,Masculino,2,Si,No,Ninguno,Especialista,Universidad,Artista Creador,SI,2000,Artes plásticas,5a9d8738-9133-4eda-a9e7-b9db2f893daa,2021,Duitama,"-73,03063","5,822964",Tundama,No,Protección,Famisanar,Contributivo
Cedula de Ciudadanía,1971,Masculino,3,No,No,Ninguno,Universitaria,Universidad,Artista Formador,SI,1990,Música,f701e0d3-a366-434e-96f3-34f373db2f81,2021,Tunja,"-73,355539","5,53988",Centro,No,Porvenir,Famisanar,Contributivo
Cedula de Ciudadanía,1989,Masculino,2,No,No,Ninguno,Técnica,"Autodidacta, Talleres, Cursos, Clases particulares",Artista Formador,SI,2004,Literatura,7fb38bff-2d6b-40ad-ac54-bfa5cff58b7c,2021,Nobsa,"-72,937042","5,768046",Sugamuxi,Sí,Colpensiones,Otra / No clasificada,Contributivo
